('61', '-', 'Paths of Glory', '(1957) -', 'Starring:', 'Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker', '8.375685261810302')
('62', '-', 'The Great Dictator', '(1940) -', 'Starring:', 'Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard', '8.372951801959914')
('63', '-', 'Avengers: Infinity War', '(2018) -', 'Starring:', 'Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth', '8.36655621559162')
('64', '-', 'Witness for the Prosecution', '(1957) -', 'Starring:', 'Billy Wilder (dir.), Tyrone Power, Marlene Dietrich', '8.359109617466348')
('65', '-', 'Aliens', '(1986) -', 'Starring:', 'James Cameron (dir.), Sigourney Weaver, Michael Biehn', '8.353527406056754')
('66', '-', 'American Beauty', '(1999) -', 'Starring:', 'Sam Mendes (dir.), Kevin Spacey, Annette Bening', '8.346925917016428')
('67', '-', 'The Dark Knight Rises', '(2012) -', 'Starring:', 'Christopher Nolan (dir.), Christian Bale, Tom Hardy', '8.344605308506177')
('68', '-', 'Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb', '(1964) -', 'Starring:', 'Stanley Kubrick (dir.), Peter Sellers, George C. Scott', '8.340286417716513')
('69', '-', 'Spider-Man: Into the Spider-Verse', '(2018) -', 'Starring:', 'Bob Persichetti (dir.), Shameik Moore, Jake Johnson', '8.335407812282638')
('70', '-', 'Joker', '(2019) -', 'Starring:', 'Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro', '8.335075512547485')
('71', '-', 'Oldeuboi', '(2003) -', 'Starring:', 'Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae', '8.326270747031948')
('72', '-', 'Braveheart', '(1995) -', 'Starring:', 'Mel Gibson (dir.), Mel Gibson, Sophie Marceau', '8.325950265597012')
('73', '-', 'Toy Story', '(1995) -', 'Starring:', 'John Lasseter (dir.), Tom Hanks, Tim Allen', '8.323849109336049')
('74', '-', 'Amadeus', '(1984) -', 'Starring:', 'Milos Forman (dir.), F. Murray Abraham, Tom Hulce', '8.321497359391703')
('75', '-', 'Coco', '(2017) -', 'Starring:', 'Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal', '8.320746718287312')
('76', '-', 'Inglourious Basterds', '(2009) -', 'Starring:', 'Quentin Tarantino (dir.), Brad Pitt, Diane Kruger', '8.318674684497944')
('77', '-', 'Das Boot', '(1981) -', 'Starring:', 'Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer', '8.317098853819266')
('78', '-', 'Spider-Man: No Way Home', '(2021) -', 'Starring:', 'Jon Watts (dir.), Tom Holland, Zendaya', '8.314185133401574')
('79', '-', 'Avengers: Endgame', '(2019) -', 'Starring:', 'Anthony Russo (dir.), Robert Downey Jr., Chris Evans', '8.312971251842056')
('80', '-', 'Mononoke-hime', '(1997) -', 'Starring:', 'Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida', '8.31119845046823')
('81', '-', 'Once Upon a Time in America', '(1984) -', 'Starring:', 'Sergio Leone (dir.), Robert De Niro, James Woods', '8.310241698904397')
('82', '-', 'Good Will Hunting', '(1997) -', 'Starring:', 'Gus Van Sant (dir.), Robin Williams, Matt Damon', '8.293593521254943')
('83', '-', 'Toy Story 3', '(2010) -', 'Starring:', 'Lee Unkrich (dir.), Tom Hanks, Tim Allen', '8.288523210380609')
('84', '-', 'Requiem for a Dream', '(2000) -', 'Starring:', 'Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto', '8.286320435832403')
('85', '-', '3 Idiots', '(2009) -', 'Starring:', 'Rajkumar Hirani (dir.), Aamir Khan, Madhavan', '8.28184494086576')
('86', '-', 'Kimi no na wa', '(2016) -', 'Starring:', 'Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi', '8.281225352166615')
('87', '-', "Singin' in the Rain", '(1952) -', 'Starring:', "Stanley Donen (dir.), Gene Kelly, Donald O'Connor", '8.279848214730642')
('88', '-', 'Star Wars: Episode VI - Return of the Jedi', '(1983) -', 'Starring:', 'Richard Marquand (dir.), Mark Hamill, Harrison Ford', '8.278639022679604')
('89', '-', 'Reservoir Dogs', '(1992) -', 'Starring:', 'Quentin Tarantino (dir.), Harvey Keitel, Tim Roth', '8.273940522177167')
('90', '-', 'Eternal Sunshine of the Spotless Mind', '(2004) -', 'Starring:', 'Michel Gondry (dir.), Jim Carrey, Kate Winslet', '8.273784003493152')
('91', '-', '2001: A Space Odyssey', '(1968) -', 'Starring:', 'Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood', '8.273123653604966')
('92', '-', 'Tengoku to jigoku', '(1963) -', 'Starring:', 'Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada', '8.2667671635817')
('93', '-', 'Citizen Kane', '(1941) -', 'Starring:', 'Orson Welles (dir.), Orson Welles, Joseph Cotten', '8.264488211794548')
('94', '-', 'Capharnaüm', '(2018) -', 'Starring:', 'Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw', '8.262965850408952')
('95', '-', 'Lawrence of Arabia', '(1962) -', 'Starring:', "David Lean (dir.), Peter O'Toole, Alec Guinness", '8.262709756348432')
('96', '-', 'M - Eine Stadt sucht einen Mörder', '(1931) -', 'Starring:', 'Fritz Lang (dir.), Peter Lorre, Ellen Widmann', '8.260619563722019')
('97', '-', 'North by Northwest', '(1959) -', 'Starring:', 'Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint', '8.260193671126617')
('98', '-', 'Jagten', '(2012) -', 'Starring:', 'Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen', '8.259518447480884')
('99', '-', 'Vertigo', '(1958) -', 'Starring:', 'Alfred Hitchcock (dir.), James Stewart, Kim Novak', '8.254444553163879')
('10', '-', " Le fabuleux destin d'Amélie Poulain", '(2001) -', 'Starring:', 'Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz', '8.25366502866414')
('101', '-', 'A Clockwork Orange', '(1971) -', 'Starring:', 'Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee', '8.253405889312232')
('102', '-', 'Full Metal Jacket', '(1987) -', 'Starring:', 'Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey', '8.247969361867435')
('103', '-', 'Scarface', '(1983) -', 'Starring:', 'Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer', '8.246160496704247')
('104', '-', 'Idi i smotri', '(1985) -', 'Starring:', 'Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova', '8.24481689082643')
('105', '-', 'Double Indemnity', '(1944) -', 'Starring:', 'Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck', '8.242853414029108')
('106', '-', 'The Apartment', '(1960) -', 'Starring:', 'Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine', '8.24095450685673')
('107', '-', 'Taxi Driver', '(1976) -', 'Starring:', 'Martin Scorsese (dir.), Robert De Niro, Jodie Foster', '8.238881136544828')
('108', '-', 'To Kill a Mockingbird', '(1962) -', 'Starring:', 'Robert Mulligan (dir.), Gregory Peck, John Megna', '8.23589793882607')
('109', '-', 'The Sting', '(1973) -', 'Starring:', 'George Roy Hill (dir.), Paul Newman, Robert Redford', '8.234462568639835')
('110', '-', 'Up', '(2009) -', 'Starring:', 'Pete Docter (dir.), Edward Asner, Jordan Nagai', '8.234371121274854')
('111', '-', 'LA Confidential', '(1997) -', 'Starring:', 'Curtis Hanson (dir.), Kevin Spacey, Russell Crowe', '8.233565422149137')
('112', '-', 'Hamilton', '(2020) -', 'Starring:', 'Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo', '8.232341389036256')
('113', '-', 'Heat', '(1995) -', 'Starring:', 'Michael Mann (dir.), Al Pacino, Robert De Niro', '8.232023543541224')
('114', '-', 'Ikiru', '(1952) -', 'Starring:', 'Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko', '8.230872099638304')
